Номер текста,Количество слов,Количество уникальных слов,Количество предложений
14-04-23.pdf,13090,4259,469
08-04-23.pdf,13009,4646,487
31-03-23.pdf,11948,4156,543
25-03-23.pdf,13624,4419,547
18-03-23.pdf,12479,4287,499
8-11-03-23.pdf,12396,4653,656
7-07-03-23.pdf,14544,4559,650
6-28-02-23.pdf,14722,4688,663
5-18-02-23.pdf,13258,4869,619
4-10-02-23.pdf,14128,4377,575
3-28-01-23.pdf,10978,4218,469
2-21-01-23-1.pdf,11001,4022,348
1-14-01-23-1.pdf,10738,4011,479
47-29-12-22.pdf,10926,3581,462
46-17-12-2022-.pdf,12419,5159,458
45_10122022.pdf,13323,4955,503
44-30112022.pdf,19113,5450,665
43_26112022.pdf,13041,4092,445
8v_29102022.pdf,12019,4237,543
42_12112022.pdf,13913,4169,515
41_22102029.pdf,13044,4824,487
40_22102022.pdf,12308,4038,387
39_15102022.pdf,14181,4619,567
38_08102022.pdf,13402,4526,483
37_092022.pdf,24187,7761,951
36_092022.pdf,12218,3849,400
35_092022.pdf,13416,4726,556
34_092022.pdf,14199,4956,526
33_082022.pdf,22721,6139,932
32_082022.pdf,13978,4451,571
31_082022.pdf,11838,4060,473
30_082022.pdf,13070,5004,523
28_202207.pdf,12630,4201,417
5v_072022.pdf,10359,3339,418
29_202207.pdf,13323,4990,506
27_072022.pdf,11757,4409,461
4v_072022.pdf,11881,3625,420
25-26_072022.pdf,12542,5033,476
23_202206.pdf,13116,4021,473
24_202206.pdf,13636,5161,578
22_202206.pdf,21941,7020,1017
21_202206.pdf,13576,4394,502
19-20_202205.pdf,26684,7896,1139
18_202205_o.pdf,13401,4530,533
16_202205_o.pdf,9773,3494,476
17_202205_o.pdf,13923,4982,822
14-15_202204_vkl.pdf,9819,3645,483
14-15_202204_o.pdf,12486,4747,604
13_202204_o.pdf,12816,4695,587
12_202204_o.pdf,13536,4952,716
11_202204_o.pdf,19495,6505,804
9-10_202203_o.pdf,26314,7968,1048
7_202203_o.pdf,11910,3957,456
8_202203_o.pdf,12406,4311,465
5-6_202202_o.pdf,27184,7809,1237
03_202201_o.pdf,14255,4164,556
04_202202_o.pdf,14882,4616,698
01_202201_o.pdf,18948,6368,682
02_202201_o.pdf,13451,4425,531
47-48_202112_o.pdf,23293,6430,955
45_202112_o.pdf,11692,3660,431
46_202112_o.pdf,12342,4644,505
43_202111_o.pdf,14119,4427,648
44_202112_o.pdf,13568,4295,511
42_202111_o.pdf,13538,4984,546
39_202111_o.pdf,58972,15464,2352
37_202110_o.pdf,12614,4006,514
38_202110_o.pdf,13465,4202,577
36_202110_o.pdf,13496,4195,586
35_202109_o.pdf,14372,4454,567
34_202109_o.pdf,12555,4605,524
33_202109_o.pdf,12925,4104,469
32_202109-1.pdf,10008,3393,403
31_202108_o.pdf,14071,4706,666
30_202108_o.pdf,12128,4236,524
29_202108_o.pdf,13003,4669,540
28_202108_o.pdf,19263,6056,778
27_202107_o.pdf,12579,4124,508
26_202107_o.pdf,13291,4575,444
25_202107_o.pdf,19783,5589,802
24_202106.pdf,11381,3892,432
23_202106.pdf,13158,4879,515
22_2106.pdf,11709,3824,411
21_2106.pdf,11959,3803,421
20_210604.pdf,13270,4311,544
19_210528.pdf,11869,3827,564
18_210521.pdf,12640,4129,559
17_202105.pdf,12440,4314,572
16_202105.pdf,16936,4509,679
15_202104.pdf,21670,6860,928
14_202104.pdf,12670,4278,565
13_202104.pdf,12225,4342,514
11-202103.pdf,13115,4077,513
12_202104.pdf,12296,3925,470
09_202103.pdf,11866,3844,501
10_202103.pdf,12903,4058,487
08-2021.pdf,12758,4475,519
07-2021.pdf,14289,5470,656
05_2021.pdf,12051,4031,452
06_2021.pdf,12900,4366,458
04-2021.pdf,13420,4287,527
03-202102.pdf,11466,4025,413
02-2021.pdf,11497,4322,500
01-2021.pdf,17447,6006,638
41_202012.pdf,12713,3772,452
42.pdf,15388,5139,640
40_20201214.pdf,11196,3932,587
39-202012.pdf,11966,4250,546
38-20201203.pdf,17509,6626,736
37_202011.pdf,12258,4003,551
36.pdf,14112,4111,498
35.pdf,12750,3962,444
34_202011.pdf,13256,4420,478
33_102020.pdf,11955,3872,469
32-102020.pdf,11311,4005,446
31.pdf,11518,3821,515
30.pdf,13585,4579,541
29.pdf,12957,4794,496
28.pdf,12704,3848,475
27_2020.pdf,10931,4085,409
23-24-06-23.pdf,12155,4202,386
,902,490,55
,1448,685,95
,1262,690,77
22,275,198,9
,1119,489,79
,223,155,5
,564,316,28
,217,145,6
,174,138,8
,851,484,35
,623,357,23
,266,175,12
,1187,658,77
,445,283,25
,260,172,15
,262,182,7
2,941,470,52
,842,500,49
,1049,558,62
,1064,534,74
,1659,799,92
,257,150,21
,2113,1198,151
,335,232,22
,921,521,51
,891,304,5
18,256,189,12
,279,177,7
2,3342,1382,232
,804,429,40
,452,298,21
12,287,188,10
,1711,841,96
,1604,725,71
,1813,814,82
,536,350,28
,1217,619,44
,770,361,38
,410,254,18
,1720,869,120
34,474,291,15
,1455,770,90
,888,472,43
,529,289,20
,461,278,18
2,2830,1035,182
,2739,1137,123
,526,319,33
,1358,637,80
,247,166,12
2,1950,938,116
,3138,1612,133
,470,279,18
,1190,585,56
,1106,549,41
,222,167,13
,2324,1026,160
,851,484,36
,235,170,10
,1651,722,95
,1182,670,78
,133,88,7
,183,118,8
,423,275,15
,2323,1034,104
,1703,788,74
1918,59,50,2
,1607,712,86
,297,178,7
,2165,913,76
,842,458,41
,1055,596,58
,541,309,28
2,224,157,11
,1425,690,91
,741,403,34
,865,456,60
,265,167,15
,1365,710,92
,1105,642,70
,1889,812,126
,2558,1158,104
,136,107,6
,204,153,8
,549,307,22
,272,185,15
,675,393,25
,2553,1155,129
,1283,733,64
,332,210,15
,987,512,73
,1254,647,60
,207,134,3
,121,93,8
,1221,593,55
,1444,741,70
,1173,474,63
,2722,1047,118
,937,550,53
,440,242,24
,1224,600,61
,551,333,25
,2057,1116,118
,390,232,14
,545,310,24
,475,269,19
,2283,818,112
,221,162,8
,1691,738,89
,469,283,23
,495,298,25
,328,205,12
,825,507,54
,244,160,16
,312,189,10
,221,167,8
,272,196,10
11,274,172,11
,3353,1458,153
,562,337,27
2,2111,973,104
,499,290,18
,1584,789,69
,287,190,12
,1300,626,63
,175,134,8
,3308,1323,143
,2457,1078,168
,793,455,50
,1918,826,107
5,517,294,21
,844,423,48
,3001,1171,264
,951,497,30
,2316,945,148
,3014,1123,149
,1427,708,81
,1618,785,108
,78,63,3
,2298,946,122
,77,67,3
,384,211,11
,606,328,25
,1528,742,88
,102,81,3
,2461,1198,124
,253,174,12
,2560,1119,175
,236,167,12
,237,158,11
,1898,892,114
,157,108,7
,732,452,35
,402,225,19
,205,132,5
,256,174,11
,74,62,5
,126,96,8
